SSID,BSSID,Channel,PWR,Distance,Auth,WPS,Manufacturer,Uptime,Beacons,Timestamp
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000ccc05ec60000000000026c09a000c000000080000000ffffffffffff20e882edf20c20e882edf20c20dc...,2026-04-10T03:54:15.689801
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-78,79.43,WPA,N/A,Unknown,0d 7h 3m,00001a002f480000e8045fc60000000000026c09a000b200000080000000ffffffffffff2479ef2a26e02479ef2a26e0102d...,2026-04-10T03:54:15.713042
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000022196ea0000000000026c09a000c000000080000000ffffffffffff20e882edf20c20e882edf20c40dc...,2026-04-10T03:54:15.887404
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000cb7063c60000000000026c09a000c000000080000000ffffffffffff20e882edf20c20e882edf20c50dc...,2026-04-10T03:54:15.990964
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-78,79.43,WPA,N/A,Unknown,0d 7h 3m,00001a002f480000a7b063c60000000000026c09a000b200000080000000ffffffffffff2479ef2a26e02479ef2a26e0402d...,2026-04-10T03:54:16.013330
Hidden,60:9b:b4:2b:50:3c,2,-68,25.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f48000028d598ea0000000000027109a000bc00000080000000ffffffffffff609bb42b503c609bb42b503c9093...,2026-04-10T03:54:16.066806
WE_EDF20C,20:e8:82:ed:f2:0c,1,-72,39.81,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000c20c5a740000000000027109a000b800000080000000ffffffffffff20e882edf20c20e882edf20c60dc...,2026-04-10T03:54:16.091246
Hidden,60:9b:b4:2b:50:3c,2,-72,39.81,WPA2,N/A,Unknown,1d 12h 20m,00001a002f480000ec2466c60000000000027109a000b800000080000000ffffffffffff609bb42b503c609bb42b503ca093...,2026-04-10T03:54:16.167969
Hidden,60:9b:b4:2b:50:3c,2,-68,25.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f4800005fc85c740000000000027109a000bc00000080000000ffffffffffff609bb42b503c609bb42b503cb093...,2026-04-10T03:54:16.288830
Hidden,60:9b:b4:2b:50:3c,2,-74,50.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f480000e0505e740000000000027109a000b600000080000000ffffffffffff609bb42b503c609bb42b503cc093...,2026-04-10T03:54:16.379953
WE_EDF20C,20:e8:82:ed:f2:0c,1,-68,25.12,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000a17d63740000000000027609a000bc00000080000000ffffffffffff20e882edf20c20e882edf20cc0dc...,2026-04-10T03:54:16.723810
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000a41570c60000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20cd0dc...,2026-04-10T03:54:16.822329
Hidden,60:9b:b4:2b:50:3c,2,-68,25.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f480000f91471c60000000000027609a000bc00000080000000ffffffffffff609bb42b503c609bb42b503c0094...,2026-04-10T03:54:16.889700
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000768e66740000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20ce0dc...,2026-04-10T03:54:16.911911
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 20m,00001a002f48000001a572c60000000000027609a000ba00000080000000ffffffffffff609bb42b503c609bb42b503c1094...,2026-04-10T03:54:16.998315
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000a92368740000000000027b09a000c000000080000000ffffffffffff20e882edf20c20e882edf20cf0dc...,2026-04-10T03:54:17.018080
Hidden,58:be:72:7f:70:24,6,-72,39.81,WPA2,N/A,Unknown,6d 17h 27m,00001a002f4800009be874c60000000000027b09a000b800000080000000ffffffffffff58be727f702458be727f702470f2...,2026-04-10T03:54:17.136495
Hidden,60:9b:b4:2b:50:3c,2,-74,50.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f480000646dbc540000000000027b09a000b600000080000000ffffffffffff609bb42b503c609bb42b503c3094...,2026-04-10T03:54:17.192904
Hidden,60:9b:b4:2b:50:3c,2,-74,50.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f48000071156e740000000000027b09a000b600000080000000ffffffffffff609bb42b503c609bb42b503c5094...,2026-04-10T03:54:17.418088
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 20m,00001a002f480000f3806f740000000000028009a000ba00000080000000ffffffffffff609bb42b503c609bb42b503c6094...,2026-04-10T03:54:17.518575
Hidden,58:be:72:7f:70:24,6,-70,31.62,WPA2,N/A,Unknown,6d 17h 27m,00001a002f480000885473740000000000028009a000ba00000080000000ffffffffffff58be727f702458be727f7024d0f2...,2026-04-10T03:54:17.759326
Hidden,58:be:72:7f:70:24,6,-72,39.81,WPA2,N/A,Unknown,6d 17h 27m,00001a002f48000022c1cc540000000000028509a000b800000080000000ffffffffffff58be727f702458be727f702420f3...,2026-04-10T03:54:18.272642
Hidden,58:be:72:7f:70:24,6,-72,39.81,WPA2,N/A,Unknown,6d 17h 27m,00001a002f4800000401d3540000000000028a09a000b800000080000000ffffffffffff58be727f702458be727f702460f3...,2026-04-10T03:54:18.695010
AASR,48:4c:29:a6:b5:88,9,-78,79.43,WPA,N/A,Unknown,6d 17h 27m,00001a002f480000962ad7540000000000028a09a000b200000080000000ffffffffffff484c29a6b588484c29a6b588b09d...,2026-04-10T03:54:18.957650
AASR,48:4c:29:a6:b5:88,9,-74,50.12,WPA,N/A,Unknown,6d 17h 27m,00001a002f4800007914c8540000000000028f09a000b600000080000000ffffffffffff484c29a6b588484c29a6b588009e...,2026-04-10T03:54:19.467953
Hidden,58:be:72:7f:70:24,6,-76,63.1,WPA2,N/A,Unknown,6d 17h 27m,00001a002f480000e32aca540000000000028f09a000b400000080000000ffffffffffff58be727f702458be727f7024f0f3...,2026-04-10T03:54:19.596947
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 52m,00001a002f4800002922e3540000000000029409a000b600000080000000ffffffffffff58be727ea0c458be727ea0c4505f...,2026-04-10T03:54:19.731897
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 27m,00001a002f4800007be850810000000000029409a000b800000080000000ffffffffffff484c29a6b588484c29a6b588409e...,2026-04-10T03:54:19.871525
Hidden,58:be:72:7e:a0:c4,11,-72,39.81,WPA2,N/A,Unknown,5d 5h 52m,00001a002f480000e25acf540000000000029409a000b800000080000000ffffffffffff58be727ea0c458be727ea0c4705f...,2026-04-10T03:54:19.933903
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 27m,00001a002f480000b80854810000000000029409a000b800000080000000ffffffffffff484c29a6b588484c29a6b588609e...,2026-04-10T03:54:20.069691
Hidden,58:be:72:7e:a0:c4,11,-68,25.12,WPA2,N/A,Unknown,5d 5h 52m,00001a002f480000947ad2540000000000029909a000bc00000080000000ffffffffffff58be727ea0c458be727ea0c4905f...,2026-04-10T03:54:20.137846
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 27m,00001a002f480000759955810000000000029909a000ba00000080000000ffffffffffff484c29a6b588484c29a6b588709e...,2026-04-10T03:54:20.171407
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 27m,00001a002f480000f620d6540000000000029909a000b400000080000000ffffffffffff484c29a6b588484c29a6b588909e...,2026-04-10T03:54:20.376201
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 52m,00001a002f48000091dadb540000000000029e09a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4f05f...,2026-04-10T03:54:20.752032
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 27m,00001a002f4800004af75e810000000000029e09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588d09e...,2026-04-10T03:54:20.785156
Nora,58:be:72:7f:6c:5c,11,-76,63.1,WPA,N/A,Unknown,6d 12h 45m,00001a002f48000022bfde540000000000029e09a000b400000080000000ffffffffffff58be727f6c5c58be727f6c5c5084...,2026-04-10T03:54:20.948607
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 52m,00001a002f480000a46c7e640000000000029e09a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c41060...,2026-04-10T03:54:20.957921
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 27m,00001a002f480000461762810000000000029e09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588f09e...,2026-04-10T03:54:21.026012
Nora,58:be:72:7f:6c:5c,11,-72,39.81,WPA,N/A,Unknown,6d 12h 45m,00001a002f480000f04ee0540000000000029e09a000b800000080000000ffffffffffff58be727f6c5c58be727f6c5c6084...,2026-04-10T03:54:21.057211
Nora,58:be:72:7f:6c:5c,11,-78,79.43,WPA,N/A,Unknown,6d 12h 45m,00001a002f48000034228964000000000002a809a000b200000080000000ffffffffffff58be727f6c5c58be727f6c5cc084...,2026-04-10T03:54:21.678716
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 52m,00001a002f480000949c8f64000000000002a809a000b600000080000000ffffffffffff58be727ea0c458be727ea0c4c060...,2026-04-10T03:54:22.091605
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-78,79.43,WPA,N/A,Unknown,0d 7h 3m,00001a002f4800009b3974810000000000026c09a000b200000080000000ffffffffffff2479ef2a26e02479ef2a26e03031...,2026-04-10T03:54:22.198206
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000f600f7ea0000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20c20e0...,2026-04-10T03:54:22.238250
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 20m,00001a002f4800002de5c3c60000000000026c09a000ba00000080000000ffffffffffff609bb42b503c609bb42b503c5097...,2026-04-10T03:54:22.312028
WE_EDF20C,20:e8:82:ed:f2:0c,1,-60,10.0,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000885cb9740000000000026c09a000c400000080000000ffffffffffff20e882edf20c20e882edf20c30e0...,2026-04-10T03:54:22.337823
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-78,79.43,WPA,N/A,Unknown,0d 7h 3m,00001a002f4800008c90c4c60000000000026c09a000b200000080000000ffffffffffff2479ef2a26e02479ef2a26e05031...,2026-04-10T03:54:22.357400
Hidden,60:9b:b4:2b:50:3c,2,-68,25.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f4800005bb5f9ea0000000000026c09a000bc00000080000000ffffffffffff609bb42b503c609bb42b503c6097...,2026-04-10T03:54:22.414377
WE_EDF20C,20:e8:82:ed:f2:0c,1,-60,10.0,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000beedba740000000000026c09a000c400000080000000ffffffffffff20e882edf20c20e882edf20c40e0...,2026-04-10T03:54:22.439729
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-78,79.43,WPA,N/A,Unknown,0d 7h 3m,00001a002f4800008c20c6c60000000000026c09a000b200000080000000ffffffffffff2479ef2a26e02479ef2a26e06031...,2026-04-10T03:54:22.461716
WE_EDF20C,20:e8:82:ed:f2:0c,1,-60,10.0,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000f3b0fbea0000000000026c09a000c400000080000000ffffffffffff20e882edf20c20e882edf20c50e0...,2026-04-10T03:54:22.555470
Hidden,60:9b:b4:2b:50:3c,2,-70,31.62,WPA2,N/A,Unknown,1d 12h 20m,00001a002f480000c126cac60000000000027109a000ba00000080000000ffffffffffff609bb42b503c609bb42b503c9097...,2026-04-10T03:54:22.732253
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000842cc1740000000000027109a000c000000080000000ffffffffffff20e882edf20c20e882edf20c80e0...,2026-04-10T03:54:22.865800
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-76,63.1,WPA,N/A,Unknown,0d 7h 3m,00001a002f4800008d60ccc60000000000027109a000b400000080000000ffffffffffff2479ef2a26e02479ef2a26e0a031...,2026-04-10T03:54:22.897666
Hidden,60:9b:b4:2b:50:3c,2,-68,25.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f480000551503eb0000000000027109a000bc00000080000000ffffffffffff609bb42b503c609bb42b503cc097...,2026-04-10T03:54:23.041724
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000824cc4740000000000027109a000c000000080000000ffffffffffff20e882edf20c20e882edf20ca0e0...,2026-04-10T03:54:23.060673
WE_EDF20C,20:e8:82:ed:f2:0c,1,-56,6.31,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000cbd0d0c60000000000027609a000c800000080000000ffffffffffff20e882edf20c20e882edf20cb0e0...,2026-04-10T03:54:23.157901
Hidden,60:9b:b4:2b:50:3c,2,-68,25.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f48000039f5d1c60000000000027609a000bc00000080000000ffffffffffff609bb42b503c609bb42b503ce097...,2026-04-10T03:54:23.234663
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000806cc7740000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20cc0e0...,2026-04-10T03:54:23.260071
Hidden,60:9b:b4:2b:50:3c,2,-68,25.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f4800002d85d3c60000000000027609a000bc00000080000000ffffffffffff609bb42b503c609bb42b503cf097...,2026-04-10T03:54:23.353229
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f48000080fcc8740000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20cd0e0...,2026-04-10T03:54:23.372289
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 7m,00001a002f480000cb80d5c60000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20ce0e0...,2026-04-10T03:54:23.464984
Hidden,60:9b:b4:2b:50:3c,2,-74,50.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f4800002f35d8c60000000000027b09a000b600000080000000ffffffffffff609bb42b503c609bb42b503c2098...,2026-04-10T03:54:23.652029
Hidden,58:be:72:7f:70:24,6,-72,39.81,WPA2,N/A,Unknown,6d 17h 27m,00001a002f48000091f4cd740000000000027b09a000b800000080000000ffffffffffff58be727f702458be727f702470f6...,2026-04-10T03:54:23.689038
Hidden,60:9b:b4:2b:50:3c,2,-74,50.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f480000566d20550000000000027b09a000b600000080000000ffffffffffff609bb42b503c609bb42b503c3098...,2026-04-10T03:54:23.762831
Hidden,58:be:72:7f:70:24,6,-76,63.1,WPA2,N/A,Unknown,6d 17h 27m,00001a002f4800008014d1740000000000027b09a000b400000080000000ffffffffffff58be727f702458be727f702490f6...,2026-04-10T03:54:23.898264
Hidden,60:9b:b4:2b:50:3c,2,-74,50.12,WPA2,N/A,Unknown,1d 12h 20m,00001a002f480000628d23550000000000027b09a000b600000080000000ffffffffffff609bb42b503c609bb42b503c5098...,2026-04-10T03:54:23.969852
Hidden,58:be:72:7f:70:24,6,-70,31.62,WPA2,N/A,Unknown,6d 17h 27m,00001a002f480000a634d4740000000000028009a000ba00000080000000ffffffffffff58be727f702458be727f7024b0f6...,2026-04-10T03:54:24.097287
Hidden,58:be:72:7f:70:24,6,-74,50.12,WPA2,N/A,Unknown,6d 17h 27m,00001a002f480000e86027550000000000028009a000b600000080000000ffffffffffff58be727f702458be727f7024c0f6...,2026-04-10T03:54:24.208986
Hidden,58:be:72:7f:70:24,6,-70,31.62,WPA2,N/A,Unknown,6d 17h 27m,00001a002f480000ebf028550000000000028009a000ba00000080000000ffffffffffff58be727f702458be727f7024d0f6...,2026-04-10T03:54:24.314033
Hidden,58:be:72:7f:70:24,6,-76,63.1,WPA2,N/A,Unknown,6d 17h 27m,00001a002f48000007812a550000000000028009a000b400000080000000ffffffffffff58be727f702458be727f7024e0f6...,2026-04-10T03:54:24.415867
Hidden,58:be:72:7f:70:24,6,-70,31.62,WPA2,N/A,Unknown,6d 17h 27m,00001a002f480000e4102c550000000000028009a000ba00000080000000ffffffffffff58be727f702458be727f7024f0f6...,2026-04-10T03:54:24.511160
Vodafone_VDSL,f4:fc:49:3b:c3:c8,6,-80,100.0,WPA2,V1.0 (PBC/PIN),Unknown,1d 9h 41m,00001a002f480000eaad2d550000000000028509a000b000000080000000fffffffffffff4fc493bc3c8f4fc493bc3c8b05b...,2026-04-10T03:54:24.616203
Hidden,58:be:72:7f:70:24,6,-74,50.12,WPA2,N/A,Unknown,6d 17h 27m,00001a002f480000e8533c3d0000000000028a09a000b600000080000000ffffffffffff58be727f702458be727f702460f7...,2026-04-10T03:54:25.233634
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 27m,00001a002f48000011d73f550000000000028f09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588e0a1...,2026-04-10T03:54:25.817494
Hidden,58:be:72:7f:70:24,6,-78,79.43,WPA2,N/A,Unknown,6d 17h 27m,00001a002f480000e97a29550000000000028f09a000b200000080000000ffffffffffff58be727f702458be727f7024c0f7...,2026-04-10T03:54:25.841828
Hidden,58:be:72:7f:70:24,6,-76,63.1,WPA2,N/A,Unknown,6d 17h 27m,00001a002f480000fbf041550000000000028f09a000b400000080000000ffffffffffff58be727f702458be727f7024d0f7...,2026-04-10T03:54:25.952988
Hidden,58:be:72:7e:a0:c4,11,-72,39.81,WPA2,N/A,Unknown,5d 5h 52m,00001a002f4800008db048550000000000029409a000b800000080000000ffffffffffff58be727ea0c458be727ea0c46063...,2026-04-10T03:54:26.392425
